Year,MOFs,Catalysis
2019,2280,722		
2018,8455,2643	
2017,6809,1901	
2016,5806,1557	
2015,5061,1203	
2014,4001,844		
2013,3346,568		
2012,2908,527		
2011,2335,382		
2010,1841,290		
2009,1561,216		
2008,1205,155		
2007,856,85		
2006,615,53		
2005,395,42		
2004,268,17		
2003,187,8		
2002,140,15		
2001,112,7		
2000,73,2		
1999,72,3		
1998,66,1		
1997,64,1		
1996,63,1		
1995,46,1		
1994,40,0	
1993,21,0	
1992,25,0	
1991,23,0	
1990,6,0	
1989,5,0	
1988,7,0	
1987,5,0
1986,4,0	
1985,5,0	
1984,2,0	
1983,2,0	
1982,2,0	
1981,3,0	
1980,3,0	
1979,1,0	
1978,1,0	
1977,1,0	
1976,1,0	
1974,1,0	
1973,1,0	
1967,1,0	
